Number,GivenName,Surname,Gender,StreetAddress,City,StateFull,ZipCode,TelephoneNumber,Age,Company,Latitude,Longitude
1,Melissa,Silva,female,"Rua José Maluf 1805","São Paulo","São Paulo",02226-200,"(11) 2816-2641",33,Monit,-23.673147,-46.542181
2,Kaua,Melo,male,"Rua Padre Roma 868","Jaboatão dos Guararapes",Pernambuco,54160-440,"(81) 3519-2573",30,Thompson,-8.093942,-34.875021
3,Eduardo,Ferreira,male,"Rua Fernando de Noronha 699","Francisco Beltrão",Paraná,85601-820,"(46) 2926-4056",26,"Harvest Foods",-26.100984,-53.062383
4,Isabelle,Carvalho,female,"Rua Parari 1695",Salvador,Bahia,40240-765,"(71) 7355-9167",19,"Jack Lang",-12.883199,-38.552771
5,Eduardo,Alves,male,"Rua Califórnia 1679","Rio de Janeiro","Rio de Janeiro",21020-150,"(21) 2587-7241",38,"Reliable Investments",-22.99195,-43.258143
6,Thiago,Barbosa,male,"Rua Herwing Affonso Gernhardt 1781","São Leopoldo","Rio Grande do Sul",93052-470,"(51) 5081-3838",44,"Knockout Kickboxing",-29.839977,-51.070734
7,Camila,Alves,female,"Rua Rogério de Andrade 271",Blumenau,"Santa Catarina",89057-291,"(47) 3392-9479",34,"Today's Man",-26.944003,-49.072268
8,Luís,Gomes,male,"Rua U 370","Porto Alegre","Rio Grande do Sul",91160-540,"(51) 9323-6750",31,"Independent Wealth Management",-30.125689,-51.250061
9,Beatriz,Fernandes,female,"Alameda M. Helena 1654",Castanhal,Pará,68745-105,"(91) 4835-5390",25,"Manning's Cafeterias",-1.251911,-47.804651
10,Pedro,Castro,male,"Rua João Assef 1234",Araucária,Paraná,83705-100,"(41) 7208-3558",26,"Hughes & Hatcher",-25.629501,-49.48878
11,Isabela,Souza,female,"Rua Planalto Santa Marta 1296",Maceió,Alagoas,57085-110,"(82) 5152-3090",24,Heslop's,-9.544957,-35.692239
12,Beatrice,Cunha,female,"Rua R 477",Cuiabá,"Mato Grosso",78095-180,"(65) 4743-5858",23,"Sure Save",-15.473568,-55.955961
13,Nicole,Dias,female,"Rua Caldas Viana 831",Petrópolis,"Rio de Janeiro",25610-100,"(24) 5170-5511",36,"Buena Vista Realty Service",-22.46761,-43.16774
14,Yasmin,Goncalves,female,"Estrada Dom João Becker 189",Florianópolis,"Santa Catarina",88058-600,"(48) 5296-3227",34,"Bodega Club",-27.57716,-48.493358
15,Gabriel,Rocha,male,"Rua VP-0010 60",Goiânia,Goiás,74665-760,"(62) 6840-4726",29,"Bennett Brothers",-16.732907,-49.354195
16,Matilde,Pinto,female,"Rua Julia Maria Nóbrega de Aguiar 1318",Valinhos,"São Paulo",13272-032,"(19) 7878-3358",28,"First Choice Yard Help",-22.953628,-46.963202
17,Fernanda,Rodrigues,female,"Rua Vilso Gabiatti 314",Dourados,"Mato Grosso do Sul",79813-030,"(67) 9406-4547",44,Thorofare,-22.062867,-54.820306
18,Vitória,Azevedo,female,"Rua Deputada Ivete Vargas 1771","São Carlos","São Paulo",13568-400,"(16) 8169-6942",31,"Gino's Hamburgers",-21.955042,-47.913258
19,Alice,Sousa,female,"Avenida Afonso de Sampaio e Sousa 1392","São Paulo","São Paulo",08270-001,"(11) 3431-3477",45,"Larry's Markets",-23.568979,-46.573353
20,Larissa,Alves,female,"Alameda Sul 477",Santarém,Pará,68010-740,"(93) 2619-6224",26,"AM/PM Camp",-3.094069,-54.959888
21,Bianca,Pereira,female,"Rua Dezessete 325",Alvorada,"Rio Grande do Sul",94834-320,"(51) 2591-8252",34,"Play Town",-30.002345,-50.948623
22,Júlia,Dias,female,"Rua Laurindo Capucci 1816",Mauá,"São Paulo",09320-240,"(11) 8431-4557",37,"National Lumber",-23.75175,-46.448808
23,Gabrielly,Carvalho,female,"Rua São João do Cairi 273","Feira de Santana",Bahia,44050-320,"(75) 7563-6764",33,"Formula Grey",-12.178701,-39.00049
24,Antônio,Goncalves,male,"Rua Haia 59",Avaré,"São Paulo",18708-520,"(14) 6911-5740",32,Choices,-22.973201,-48.922797
